No.,IPK,JML_TANGGUNGAN,PENGHASILAN,Status,
157,3.25,2,5832156,Ditolak,
158,3.87,5,5527500,Ditolak,
159,3.2,5,3500000,Ditolak,
160,3.5,5,1000000,Ditolak,
161,3.47,2,1000000,Ditolak,
162,3.61,2,3000000,Ditolak,
163,3.79,3,3030900,Ditolak,
164,3.63,4,500000,Ditolak,
165,3.05,4,1600000,Ditolak,
166,3.13,4,2000000,Ditolak,
167,3.45,3,3884600,Ditolak,
168,3.71,3,4000000,Ditolak,
169,3.19,3,500000,Ditolak,
170,3.23,1,2727000,Ditolak,
171,3.16,3,2000000,Ditolak,
172,3.38,2,2045130,Ditolak,
173,3.44,3,1000000,Diterima,
174,3.26,1,1566000,Ditolak,
175,3.06,2,1510633,Ditolak,
176,3.21,1,3000000,Ditolak,
